nconst	primaryName	birthYear	deathYear	primaryProfession	knownForTitles
nm0285701	Jeffrey Ford	\N	\N	editor,editorial_department,producer	tt0356680,tt0848228,tt1152836,tt3498820
nm0000375	Robert Downey Jr.	1965	\N	actor,producer,soundtrack	tt1300854,tt0371746,tt0988045,tt0848228
nm0262635	Chris Evans	1981	\N	actor,producer,director	tt2395427,tt3498820,tt0848228,tt0458339
nm0424060	Scarlett Johansson	1984	\N	actress,soundtrack,producer	tt0848228,tt1441395,tt1798709,tt0335266
nm0719637	Jeremy Renner	1971	\N	actor,producer,soundtrack	tt5362988,tt0848228,tt0887912,tt0840361
nm0923736	Joss Whedon	1964	\N	writer,producer,director	tt0162065,tt1259521,tt0118276,tt0848228
nm0672015	Zak Penn	1968	\N	writer,producer,actor	tt0800080,tt0290334,tt1677720,tt0848228
nm0270559	Kevin Feige	1973	\N	producer,miscellaneous,production_manager	tt1825683,tt2015381,tt4154796,tt0371746
nm0006293	Alan Silvestri	1950	\N	composer,soundtrack,music_department	tt0093773,tt0109830,tt0338348,tt0458339
nm0568974	Seamus McGarvey	1967	\N	cinematographer,camera_department,producer	tt1781769,tt4550098,tt0318649,tt0783233
nm0749263	Mark Ruffalo	1967	\N	actor,producer,director	tt1895587,tt0842926,tt1100089,tt0848228
nm1165110	Chris Hemsworth	1983	\N	actor,soundtrack,producer	tt3501632,tt1735898,tt0848228,tt0800369
nm0498278	Stan Lee	1922	2018	writer,producer,actor	tt2250912,tt3896198,tt1211837,tt1825683
nm0456158	Jack Kirby	1917	1994	writer,animation_department,miscellaneous	tt4154756,tt0371746,tt1825683,tt4154796
nm0800209	Joe Simon	1913	2011	writer,miscellaneous	tt3498820,tt2250912,tt4154756,tt1843866
nm4160687	Jim Starlin	1949	\N	writer,animation_department,miscellaneous	tt4154756,tt3896198,tt2395427,tt2015381
nm0751577	Anthony Russo	1970	\N	producer,director,writer	tt1843866,tt4154796,tt4154756,tt3498820
nm0751648	Joe Russo	1971	\N	producer,director,writer	tt1843866,tt3498820,tt4154796,tt4154756
nm1321655	Christopher Markus	\N	\N	writer,producer,actor	tt3498820,tt0458339,tt4154756,tt0363771
nm1321656	Stephen McFeely	\N	\N	writer,producer,actor	tt4154756,tt0458339,tt0363771,tt3498820
